n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
4553,M,2,2,1,617,M,F,2770,S,1,-4,true,1248
4554,M,4,5,-1,617,M,S,2770,C,0,-4,false,1248
4555,M,2,2,1,617,M,F,2771,S,1,-3,true,1249
4556,M,3,4,1,617,M,S,2771,S,0,-3,false,1249
4557,M,3,4,1,617,M,S,2771,C,0,-3,false,1249
4558,M,3,3,-1,617,M,F,2772,C,-1,-4,false,1249
4559,M,2,2,1,617,M,F,2773,S,1,-3,true,1250
4560,M,4,7,-1,617,L,S,2773,C,0,-3,false,1250
4561,P,1,1,-1,618,M,F,2774,C,-1,-4,false,1250
4562,M,2,2,1,618,M,F,2775,S,1,-3,true,1251
4563,M,2,5,-1,618,M,S,2775,S,0,-3,false,1251
4564,M,3,4,1,618,M,S,2775,C,0,-3,false,1251
4565,M,3,3,-1,618,M,F,2776,C,-1,-4,false,1251
4566,M,3,3,-1,618,L,F,2777,C,-1,-5,false,1251
4567,P,1,1,-1,619,M,F,2778,S,-1,-6,false,1251
4568,M,2,4,1,619,M,S,2778,C,0,-6,false,1251
4569,M,2,2,1,619,M,F,2779,C,1,-5,true,1252
4570,M,3,3,-1,619,M,F,2780,C,-1,-6,false,1252
4571,M,2,2,1,619,M,F,2781,S,1,-5,true,1253
4572,M,3,5,-1,619,M,S,2781,C,0,-5,false,1253
4573,M,2,2,1,619,M,F,2782,C,1,-4,true,1254
4574,M,2,2,1,619,M,F,2783,S,1,-3,true,1255
4575,M,3,4,1,619,M,S,2783,S,0,-3,false,1255
4576,M,3,7,-1,619,M,S,2783,C,0,-3,false,1255
4577,M,2,2,1,619,M,F,2784,C,1,-2,true,1256
4578,M,4,4,1,619,M,F,2785,C,1,-1,false,1256
4579,M,2,2,1,619,M,F,2786,S,1,0,true,1257
4580,M,3,4,1,619,M,S,2786,S,0,0,false,1257
4581,M,2,3,-1,619,M,S,2786,C,0,0,false,1257
4582,M,3,3,-1,619,L,F,2787,C,-1,-1,false,1257
4583,P,1,1,-1,620,M,F,2788,S,-1,-2,false,1257
